Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
27,Female,53.0,1.58,166,142,62,1.26,895.0,Cardio,34.5,1.8,4,2,21.23
33,Female,45.9,1.5,189,144,62,0.92,662.0,Yoga,29.8,1.7,3,1,20.4
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57
46,Female,52.0,1.65,165,147,63,0.7,463.0,Cardio,34.1,1.9,2,1,19.1
31,Male,86.9,1.69,185,130,65,1.72,1230.0,Yoga,14.0,3.5,4,3,30.43
43,Female,66.3,1.77,177,157,57,1.48,1046.0,HIIT,32.7,1.7,4,2,21.16
43,Female,55.2,1.73,167,165,62,1.67,1240.0,Cardio,16.6,2.7,5,3,18.44
49,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,29.4,1.8,4,2,29.56
18,Female,66.9,1.75,170,122,61,0.94,573.0,Yoga,26.8,1.7,2,1,21.84
20,Male,83.0,1.8,167,160,73,0.79,695.0,Yoga,29.6,2.9,2,1,25.62
34,Male,112.4,1.85,162,134,66,1.18,870.0,HIIT,23.4,3.6,4,2,32.84
32,Female,56.6,1.57,170,167,72,1.65,1378.0,HIIT,15.7,2.7,4,3,22.96
48,Male,80.6,1.77,198,167,66,1.51,1248.0,Cardio,12.9,3.5,4,3,25.73
40,Male,63.8,1.62,185,143,72,1.3,1022.0,HIIT,20.8,3.4,2,1,24.31
38,Male,83.6,1.74,164,151,51,1.66,1379.0,Cardio,11.6,3.5,5,3,27.61
34,Female,54.2,1.52,190,132,60,1.13,746.0,Cardio,31.0,2.2,3,1,23.46
59,Male,89.4,1.62,198,125,59,1.43,885.0,Strength,23.5,3.6,3,2,34.06
57,Male,85.6,1.69,189,133,50,1.76,1159.0,Yoga,12.7,3.5,5,3,29.97
43,Male,108.6,1.73,174,150,66,1.33,988.0,Cardio,28.5,2.2,2,1,36.29
21,Female,54.9,1.78,173,138,71,0.55,380.0,HIIT,31.7,2.0,2,1,17.33
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41
56,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,11.0,3.5,4,3,25.86
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31
22,Male,117.3,1.68,172,134,57,1.24,914.0,Yoga,28.5,2.7,3,2,41.56
54,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,2,1,19.37
44,Female,48.0,1.76,189,124,52,0.88,491.0,Yoga,28.6,2.6,2,1,15.5
19,Female,69.2,1.6,186,155,74,1.17,907.0,Cardio,32.4,1.6,3,1,27.03
28,Male,114.2,1.87,184,166,55,1.05,959.0,Strength,20.2,3.2,3,2,32.66
53,Male,125.1,1.91,171,137,70,0.52,353.0,Strength,28.3,3.1,2,1,34.29
18,Female,66.9,1.57,193,127,63,1.07,679.0,Cardio,30.7,2.2,3,2,27.14
18,Female,50.7,1.53,181,147,52,1.29,948.0,Yoga,33.0,2.1,3,2,21.66
26,Female,72.8,1.67,163,121,50,1.37,829.0,Strength,35.0,1.9,2,1,26.1
23,Female,60.9,1.62,193,168,69,1.59,1336.0,Cardio,16.8,2.7,5,3,23.21
49,Male,57.2,1.89,192,135,62,1.14,762.0,Cardio,21.1,3.5,2,1,16.01
21,Male,74.2,1.93,187,141,56,1.32,1024.0,HIIT,28.3,2.5,3,2,19.92
38,Female,70.3,1.52,164,144,66,1.19,857.0,Yoga,25.6,2.0,4,2,30.43
59,Male,89.4,1.72,188,152,67,1.08,813.0,Yoga,24.5,3.2,3,1,30.22
39,Male,127.5,1.82,180,161,70,1.26,1116.0,Strength,29.8,3.0,3,2,38.49
26,Female,71.2,1.5,182,142,54,1.15,816.0,Cardio,34.6,2.6,2,1,31.64
42,Female,50.7,1.75,163,162,51,1.29,940.0,Strength,29.0,1.9,3,2,16.56
21,Female,61.3,1.57,191,152,64,1.94,1474.0,HIIT,17.2,2.7,4,3,24.87
40,Male,76.9,1.92,179,137,68,1.13,851.0,Yoga,22.4,3.7,4,2,20.86
51,Female,64.9,1.6,169,125,55,1.49,838.0,Yoga,31.1,2.5,4,2,25.35
37,Male,48.7,1.67,164,132,74,1.39,1009.0,Yoga,27.3,3.0,2,1,17.46
30,Male,67.9,1.75,180,168,67,1.25,1155.0,Yoga,29.1,3.1,2,1,22.17
25,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87
40,Male,58.2,1.98,198,138,74,1.43,1085.0,Cardio,24.0,2.5,3,2,14.85
47,Male,84.8,1.86,187,129,63,1.85,1181.0,HIIT,14.4,3.5,5,3,24.51
53,Female,56.3,1.79,193,141,59,1.52,964.0,Strength,16.5,2.7,5,3,17.57
49,Female,62.1,1.66,173,152,73,1.37,937.0,HIIT,31.3,1.8,3,2,22.54
46,Female,58.9,1.7,180,155,53,1.52,1060.0,Strength,17.1,2.7,4,3,20.38
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76
45,Female,64.3,1.54,199,133,58,1.67,999.0,Yoga,15.3,2.7,4,3,27.11
31,Female,58.2,1.73,191,131,70,1.17,766.0,Yoga,25.8,1.8,3,2,19.45
32,Male,97.3,1.96,189,137,50,1.36,1025.0,HIIT,24.9,3.4,3,2,25.33
43,Male,127.7,1.69,171,155,53,1.14,875.0,Cardio,24.1,2.9,3,2,44.71
54,Female,43.8,1.65,171,129,61,1.29,749.0,Yoga,26.6,1.7,4,2,16.09
49,Male,88.6,2.0,162,127,56,1.83,1150.0,Cardio,14.9,3.5,4,3,22.15
37,Male,76.3,1.77,180,128,57,1.36,957.0,HIIT,27.3,2.1,4,2,24.35
56,Female,67.7,1.58,189,142,52,1.45,927.0,Strength,32.7,1.9,2,1,27.12
23,Male,87.3,1.91,164,129,58,1.87,1327.0,HIIT,11.8,3.5,5,3,23.93
43,Female,42.2,1.65,162,148,59,1.33,886.0,Cardio,34.6,2.3,3,2,15.5
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4,2,16.04
34,Male,75.7,1.94,181,141,72,1.18,915.0,Strength,29.3,2.4,4,2,20.11
54,Female,78.1,1.6,198,145,73,1.1,718.0,Yoga,32.9,2.4,4,2,30.51
37,Female,54.6,1.57,170,150,62,1.31,982.0,Strength,32.1,2.4,3,1,22.15
31,Male,49.3,1.62,182,157,52,0.56,484.0,Strength,20.0,3.2,2,1,18.79
52,Female,63.1,1.54,185,165,67,1.36,1010.0,Strength,34.8,1.8,3,2,26.61
44,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5,3,25.58
48,Male,129.2,1.61,193,167,62,1.06,876.0,Yoga,21.4,2.9,4,2,49.84
31,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5,3,22.28
21,Male,110.7,1.69,193,133,59,1.06,775.0,Yoga,27.0,2.7,3,1,38.76
55,Male,86.4,1.77,176,157,61,1.0,777.0,Yoga,27.3,2.8,3,2,27.58
18,Female,60.9,1.79,191,126,69,1.11,699.0,Cardio,31.1,2.1,2,1,19.01
29,Male,81.7,1.99,162,126,54,1.45,1005.0,Strength,29.4,3.2,2,1,20.63
50,Female,67.1,1.75,161,120,59,0.67,362.0,Cardio,31.8,2.7,3,1,21.91
42,Female,49.2,1.5,173,131,63,1.15,678.0,HIIT,27.7,1.5,3,2,21.87
37,Male,49.1,1.74,193,138,52,1.11,842.0,Yoga,22.3,2.6,3,2,16.22
18,Male,125.9,1.67,172,153,60,1.46,1229.0,Yoga,20.6,2.2,3,2,45.14
43,Female,70.1,1.66,169,151,58,0.99,673.0,Strength,34.6,2.6,2,1,25.44
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0
39,Male,81.7,1.75,165,165,55,1.32,1198.0,Cardio,29.1,2.8,4,2,26.68
33,Male,113.6,1.99,169,125,58,1.38,949.0,Strength,28.4,3.4,2,1,28.69
35,Male,59.2,1.66,197,161,59,1.3,1151.0,Strength,21.3,3.2,3,1,21.48
20,Male,128.2,1.84,164,132,58,0.83,603.0,HIIT,26.2,2.3,3,1,37.87
